Az ingatlan helye,"Családi ház átlagár, ezer Ft/m²",Családi ház átlagár darab,"Többlakásos társasház átlagár, ezer Ft/m²",Többlakásos társasház darab,"Lakótelepi panel átlagár, ezer Ft/m²",Lakótelepi panel darab,"Lakások összesen átlagár, ezer Ft/m²",Lakások összesen darab,"Lakások összesen relatív szórás, %",Év,Kerület
Futár utca,,,,,606.0,11.0,644,13,26,2019,13
Garam utca,,,691.0,11.0,,,691,11,28,2019,13
Gidófalvy Lajos utca,,,,,584.0,20.0,584,20,24,2019,13
Gogol utca,,,711.0,9.0,,,698,10,25,2019,13
Gömb utca,,,722.0,28.0,,,722,28,26,2019,13
Göncöl utca,,,561.0,8.0,,,561,8,31,2019,13
Gyermek tér,,,625.0,7.0,,,625,7,12,2019,13
Gyöngyház utca,,,727.0,3.0,,,727,3,22,2019,13
Gyöngyösi utca,,,542.0,11.0,591.0,14.0,592,26,28,2019,13
Hajdú köz,,,603.0,4.0,,,603,4,9,2019,13
Hajdú utca,,,640.0,4.0,667.0,8.0,658,12,21,2019,13
Hegedűs Gyula utca,,,725.0,108.0,,,725,108,22,2019,13
Herzen utca,,,773.0,3.0,,,773,3,27,2019,13
Hollán Ernő utca,,,794.0,25.0,,,794,25,32,2019,13
Hun utca,,,514.0,3.0,565.0,8.0,551,11,19,2019,13
Ipoly utca,,,852.0,12.0,,,852,12,25,2019,13
Jász utca,,,668.0,23.0,545.0,3.0,654,26,26,2019,13
Jéggyár utca,,,,,665.0,3.0,640,4,15,2019,13
József Attila tér,,,648.0,3.0,,,648,3,10,2019,13
Kádár utca,,,688.0,8.0,,,688,8,10,2019,13
Karikás Frigyes utca,,,665.0,8.0,,,665,8,14,2019,13
Kárpát utca,,,793.0,18.0,639.0,32.0,695,50,21,2019,13
Kartács utca,,,677.0,6.0,,,677,6,21,2019,13
Kassák Lajos utca,,,685.0,29.0,560.0,13.0,646,42,20,2019,13
Katona József utca,,,785.0,25.0,,,785,25,19,2019,13
Kelén utca,,,926.0,5.0,,,926,5,13,2019,13
Kerekes utca,,,740.0,13.0,,,740,13,13,2019,13
Keszkenő utca,,,523.0,5.0,516.0,8.0,519,13,17,2019,13
Kisgömb utca,,,720.0,21.0,,,720,21,24,2019,13
Kresz Géza utca,,,731.0,31.0,,,731,31,16,2019,13
Kucsma utca,,,739.0,6.0,,,739,6,27,2019,13
Lehel utca,,,693.0,62.0,657.0,4.0,691,66,22,2019,13
Lőportár utca,,,617.0,4.0,,,617,4,18,2019,13
Madarász Viktor utca,,,726.0,14.0,622.0,15.0,672,29,18,2019,13
Máglya köz,,,595.0,3.0,,,595,3,8,2019,13
Marina sétány,,,888.0,5.0,,,888,5,38,2019,13
Meder utca,,,828.0,12.0,,,828,12,19,2019,13
Mohács utca,,,622.0,11.0,,,622,11,24,2019,13
Mór utca,,,690.0,12.0,,,690,12,18,2019,13
Mosoly utca,,,668.0,12.0,,,668,12,16,2019,13
Népfürdő utca,,,969.0,15.0,647.0,23.0,774,38,29,2019,13
Nővér utca,,,596.0,3.0,,,647,4,24,2019,13
Nyugati tér,,,759.0,3.0,,,759,3,20,2019,13
Ördögmalom utca,,,,,604.0,4.0,604,4,30,2019,13
Országbíró utca,,,759.0,10.0,,,715,12,30,2019,13
Övezet utca,,,558.0,8.0,,,558,8,10,2019,13
Palóc utca,,,689.0,7.0,,,689,7,9,2019,13
Pannónia utca,,,784.0,46.0,640.0,30.0,727,76,23,2019,13
Pap Károly utca,,,682.0,21.0,,,682,21,26,2019,13
Párkány utca,,,,,602.0,24.0,611,25,29,2019,13
Petneházy utca,,,722.0,51.0,517.0,10.0,688,61,23,2019,13
Pozsonyi út,,,972.0,26.0,,,972,26,36,2019,13
Radnóti Miklós utca,,,766.0,34.0,,,766,34,24,2019,13
Raoul Wallenberg utca,,,758.0,5.0,,,758,5,12,2019,13
Reitter Ferenc utca,,,619.0,24.0,605.0,11.0,615,35,24,2019,13
Révész utca,,,511.0,3.0,,,511,3,45,2019,13
Róbert Károly körút,,,643.0,31.0,561.0,11.0,622,42,16,2019,13
Rokolya utca,,,833.0,5.0,,,747,7,24,2019,13
Röntgen utca,,,698.0,3.0,,,698,3,24,2019,13
Ronyva utca,,,616.0,4.0,,,637,6,14,2019,13
Röppentyű utca,,,791.0,13.0,640.0,5.0,749,18,16,2019,13
Rozsnyay utca,,,831.0,8.0,,,831,8,19,2019,13
Sólyatér utca,,,919.0,6.0,,,919,6,10,2019,13
Süllő utca,,,705.0,5.0,,,705,5,20,2019,13
Szabolcs utca,,,614.0,23.0,,,611,24,23,2019,13
Szegedi út,,,633.0,11.0,553.0,13.0,590,24,15,2019,13
Szekszárdi utca,,,683.0,5.0,,,623,6,29,2019,13
Szent István körút,,,782.0,24.0,,,782,24,29,2019,13
Szent István park,,,935.0,20.0,,,935,20,23,2019,13
Szent László út,,,632.0,74.0,,,632,74,25,2019,13
Tahi utca,,,651.0,36.0,,,653,37,19,2019,13
Tar utca,,,589.0,4.0,,,589,4,14,2019,13
Tatai utca,,,594.0,5.0,491.0,3.0,555,8,21,2019,13
Tátra utca,,,748.0,35.0,,,748,35,24,2019,13
Teve utca,,,726.0,15.0,,,726,15,17,2019,13
Thurzó utca,,,803.0,10.0,,,803,10,23,2019,13
Tisza utca,,,789.0,14.0,,,789,14,13,2019,13
Tomori köz,,,559.0,11.0,,,559,11,28,2019,13
Tomori utca,,,,,558.0,9.0,558,9,27,2019,13
Turbina utca,,,574.0,3.0,,,574,3,29,2019,13
Turóc utca,,,904.0,14.0,,,904,14,16,2019,13
Tutaj utca,,,791.0,6.0,,,791,6,18,2019,13
Tüzér utca,,,624.0,3.0,,,624,3,20,2019,13
Újpalotai út,,,663.0,3.0,,,663,3,7,2019,13
Újpesti rakpart,,,985.0,5.0,,,985,5,38,2019,13
Úszódaru utca,,,915.0,15.0,,,915,15,12,2019,13
Üteg utca,,,708.0,12.0,595.0,16.0,643,28,17,2019,13
Váci út,,,634.0,99.0,665.0,7.0,636,106,19,2019,13
Vág utca,,,727.0,8.0,,,704,10,16,2019,13
Véső utca,,,757.0,7.0,,,757,7,18,2019,13
Victor Hugo utca,,,752.0,23.0,,,752,23,16,2019,13
Visegrádi utca,,,743.0,104.0,603.0,6.0,735,110,25,2019,13
Viza utca,,,926.0,15.0,,,926,15,30,2019,13
Vőlegény utca,657.0,3.0,610.0,3.0,,,634,6,19,2019,13
Zsilip utca,,,636.0,6.0,,,636,6,24,2019,13
együtt,717.0,12.0,719.0,1899.0,604.0,387.0,699,2298,26,2019,13
Abonyi utca,,,734.0,9.0,,,734,9,31,2019,14
Adria sétány,,,552.0,10.0,602.0,15.0,582,25,13,2019,14
Ajtósi Dürer sor,,,596.0,5.0,,,596,5,24,2019,14
Amerikai út,,,663.0,23.0,,,663,23,17,2019,14
Angol utca,,,573.0,13.0,,,573,13,15,2019,14
Bácskai utca,,,634.0,15.0,,,634,15,27,2019,14
Bagolyvár utca,,,678.0,5.0,,,678,5,13,2019,14
Balázs park,,,535.0,8.0,,,535,8,7,2019,14
Balázs utca,,,486.0,6.0,,,486,6,44,2019,14
Bánki Donát utca,,,657.0,18.0,,,660,19,20,2019,14
Báróczy utca,,,630.0,8.0,,,630,8,29,2019,14
Bazsarózsa utca,,,627.0,4.0,,,615,5,13,2019,14
Beckó utca,,,844.0,8.0,,,844,8,11,2019,14
Benkő utca,,,709.0,4.0,,,709,4,32,2019,14
Besnyői utca,,,669.0,6.0,,,669,6,30,2019,14
Bíbor utca,,,656.0,18.0,,,656,18,28,2019,14
Birtok utca,,,742.0,4.0,,,742,4,11,2019,14
Bolgárkertész utca,,,654.0,31.0,,,643,33,22,2019,14
Bonyhádi út,536.0,3.0,645.0,10.0,,,620,13,20,2019,14
Bosnyák tér,,,510.0,9.0,,,510,9,22,2019,14
Cházár András utca,,,729.0,14.0,,,729,14,24,2019,14
Cinkotai út,,,625.0,3.0,,,502,5,37,2019,14
Columbus utca,,,602.0,15.0,,,602,15,13,2019,14
Csáktornya park,,,503.0,7.0,,,503,7,17,2019,14
Csáktornya utca,,,521.0,5.0,,,521,5,7,2019,14
Csernyus utca,,,676.0,5.0,,,676,5,9,2019,14
Csertő park,,,,,526.0,13.0,526,13,19,2019,14
Csertő utca,,,,,537.0,40.0,537,40,10,2019,14
Csömöri út,,,546.0,10.0,,,546,10,22,2019,14
Czobor utca,,,587.0,18.0,,,591,19,28,2019,14
Deés utca,623.0,4.0,567.0,3.0,,,599,7,14,2019,14
Dongó utca,,,399.0,3.0,,,399,3,70,2019,14
Dorozsma köz,,,602.0,4.0,,,602,4,21,2019,14
Dorozsmai utca,349.0,7.0,589.0,11.0,,,495,18,39,2019,14
Dózsa György út,,,658.0,16.0,,,658,16,36,2019,14
Egressy út,,,706.0,81.0,,,706,81,24,2019,14
Egyenes utca,,,612.0,3.0,,,612,3,20,2019,14
Emília utca,,,516.0,6.0,,,557,7,37,2019,14
Emma köz,,,630.0,3.0,,,630,3,10,2019,14
Erzsébet királyné útja,,,599.0,54.0,,,599,54,23,2019,14
Fajansz utca,,,,,,,712,3,13,2019,14
Félhold utca,,,612.0,5.0,,,612,5,19,2019,14
Fischer István utca,,,584.0,6.0,,,584,6,31,2019,14
Fogarasi park,,,601.0,3.0,,,601,3,23,2019,14
Fogarasi út,,,620.0,16.0,,,607,17,23,2019,14
Francia út,,,663.0,4.0,,,626,5,16,2019,14
Füredi park,,,,,573.0,13.0,573,13,8,2019,14
Füredi utca,,,,,537.0,59.0,533,60,13,2019,14
Fűrész utca,,,648.0,10.0,,,637,11,22,2019,14
Gervay utca,528.0,3.0,556.0,7.0,,,548,10,13,2019,14
Gizella út,,,629.0,30.0,,,629,30,21,2019,14
Gödöllői utca,,,552.0,3.0,,,552,3,8,2019,14
Gvadányi utca,,,572.0,4.0,603.0,66.0,602,70,17,2019,14
Gyarmat utca,,,620.0,35.0,,,620,35,30,2019,14
Horvát Boldizsár utca,,,584.0,5.0,,,584,5,23,2019,14
Hungária körút,,,533.0,60.0,,,533,60,20,2019,14
Huszt utca,,,660.0,8.0,,,660,8,10,2019,14
Ilka utca,,,601.0,44.0,,,596,45,32,2019,14
Ilosvai Selymes utca,,,658.0,11.0,,,604,13,24,2019,14
Istvánffy utca,,,615.0,4.0,,,615,4,15,2019,14
Istvánmezei út,,,923.0,7.0,,,923,7,12,2019,14
Jávorka Ádám utca,,,663.0,7.0,,,632,8,16,2019,14
Jerney utca,,,679.0,7.0,,,679,7,35,2019,14
Jeszenák János utca,,,523.0,4.0,,,595,6,31,2019,14
Jurisich Miklós utca,,,600.0,6.0,,,600,6,23,2019,14
Kacsóh Pongrác út,,,552.0,18.0,,,552,18,13,2019,14
Kaffka Margit utca,,,747.0,6.0,,,747,6,12,2019,14
Kalapács utca,,,633.0,15.0,,,633,15,17,2019,14
Kalauz utca,,,,,,,718,3,35,2019,14
Kalocsai utca,,,646.0,8.0,,,643,9,32,2019,14
Kassai tér,,,526.0,19.0,,,526,19,17,2019,14
Kassai utca,459.0,4.0,,,,,458,6,15,2019,14
Kerékgyártó utca,,,632.0,16.0,,,632,16,18,2019,14
Kerepesi út,,,546.0,71.0,544.0,8.0,545,79,22,2019,14
Komócsy utca,,,654.0,15.0,,,654,15,22,2019,14
Korong utca,,,632.0,10.0,,,632,10,28,2019,14
Kőszeg utca,,,749.0,4.0,,,755,5,8,2019,14
Kövér Lajos utca,,,738.0,19.0,,,720,20,17,2019,14
Laky Adolf utca,,,637.0,9.0,,,642,10,13,2019,14
Lengyel utca,,,668.0,5.0,,,650,7,15,2019,14
Limanova tér,,,676.0,7.0,,,676,7,10,2019,14
Lipótvár utca,,,675.0,9.0,,,675,9,17,2019,14
Lőcsei út,,,622.0,11.0,,,619,12,20,2019,14
Mexikói út,,,565.0,11.0,,,565,11,24,2019,14
Mimóza utca,,,680.0,4.0,,,680,4,36,2019,14
Miskolci utca,,,610.0,5.0,,,641,6,19,2019,14
Mogyoródi út,,,630.0,27.0,604.0,6.0,608,35,22,2019,14
Nagy Lajos király útja,,,610.0,73.0,531.0,22.0,591,95,21,2019,14
Nagybecskerek utca,,,711.0,5.0,,,711,5,14,2019,14
Nezsider park,,,551.0,11.0,,,551,11,8,2019,14
Ond vezér útja,,,,,531.0,55.0,534,57,10,2019,14
Ormánság utca,,,,,556.0,13.0,556,13,10,2019,14
Ormos utca,,,521.0,5.0,,,521,5,16,2019,14
Őrnagy utca,,,614.0,3.0,,,614,3,15,2019,14
Örs vezér tere,,,612.0,3.0,515.0,10.0,537,13,10,2019,14
Örs vezér útja,,,724.0,7.0,,,724,7,29,2019,14
Öv utca,,,618.0,24.0,,,610,26,24,2019,14
Padlizsán utca,,,696.0,13.0,,,696,13,18,2019,14
Paskálmalom utca,,,636.0,3.0,,,636,3,5,2019,14
Pétervárad utca,,,624.0,5.0,,,624,5,23,2019,14
Pillangó park,,,959.0,3.0,615.0,32.0,644,35,19,2019,14
Pitvar utca,,,573.0,9.0,,,573,9,18,2019,14
Pósa Lajos utca,,,795.0,4.0,,,721,6,18,2019,14
Rákos tér,,,724.0,7.0,,,724,7,30,2019,14
Rákosfalva park,,,,,544.0,16.0,544,16,15,2019,14
Rákospatak park,,,563.0,10.0,,,569,11,35,2019,14
Rákosszeg park,,,561.0,3.0,,,561,3,17,2019,14
Ráskay Lea utca,,,,,,,718,3,19,2019,14
Rátót utca,,,824.0,4.0,,,824,4,13,2019,14
Répásy Mihály utca,,,654.0,12.0,,,642,13,18,2019,14
Róna park,,,587.0,3.0,,,587,3,11,2019,14
Róna utca,,,633.0,61.0,,,629,62,22,2019,14
Rózsavölgyi tér,,,598.0,6.0,,,598,6,22,2019,14
Sárköz utca,,,500.0,4.0,,,500,4,31,2019,14
Sárrét park,,,496.0,3.0,,,496,3,13,2019,14
Semsey Andor utca,,,473.0,9.0,,,473,9,30,2019,14
Stefánia út,,,579.0,16.0,,,579,16,28,2019,14
Szatmár utca,,,664.0,15.0,,,657,17,19,2019,14
Szederkény utca,,,640.0,3.0,,,640,3,19,2019,14
Szentmihályi út,,,,,553.0,67.0,553,67,12,2019,14
Szenttamás utca,,,593.0,3.0,,,593,3,12,2019,14
Szervián utca,,,641.0,8.0,,,641,8,18,2019,14
Szikszó park,,,581.0,3.0,,,581,3,31,2019,14
Szilágysomlyó utca,,,619.0,4.0,,,631,5,13,2019,14
Szobránc utca,,,567.0,12.0,,,567,12,16,2019,14
Szomolány utca,,,,,,,542,3,24,2019,14
Szőnyi út,,,630.0,7.0,,,630,7,15,2019,14
Szugló utca,,,577.0,40.0,,,568,42,34,2019,14
Szuglói körvasút sor,,,,,,,545,3,18,2019,14
Tábornok utca,,,707.0,15.0,,,707,15,16,2019,14
Tallér utca,,,715.0,3.0,,,715,3,7,2019,14
Telepes utca,,,607.0,40.0,,,606,41,19,2019,14
Tengerszem köz,,,764.0,3.0,,,764,3,22,2019,14
Tengerszem utca,474.0,3.0,,,,,533,5,24,2019,14
Thököly út,,,555.0,47.0,,,555,47,25,2019,14
Tihamér utca,,,720.0,8.0,,,720,8,21,2019,14
Tihany utca,,,,,552.0,31.0,552,31,13,2019,14
Titel utca,,,652.0,3.0,,,652,3,28,2019,14
Törökőr utca,,,478.0,4.0,,,478,4,34,2019,14
Torontál utca,,,703.0,10.0,,,703,10,10,2019,14
Újváros park,,,,,568.0,13.0,568,13,12,2019,14
Újvilág utca,,,666.0,4.0,,,666,4,8,2019,14
Ungvár utca,,,564.0,19.0,,,564,19,25,2019,14
Utász utca,,,633.0,10.0,,,633,10,22,2019,14
Uzsoki utca,,,503.0,8.0,,,503,8,21,2019,14
Várna utca,,,622.0,11.0,,,622,11,19,2019,14
Varsó utca,,,540.0,5.0,,,540,5,30,2019,14
Vezér utca,,,670.0,16.0,515.0,25.0,575,41,21,2019,14
Vízakna utca,,,,,,,673,3,13,2019,14
Wass Albert tér,,,641.0,3.0,,,641,3,5,2019,14
Zászlós utca,,,623.0,9.0,,,623,9,22,2019,14
Zoborhegy utca,,,572.0,3.0,,,572,3,35,2019,14
Zsálya utca,,,,,550.0,12.0,591,13,27,2019,14
Zsivora park,,,,,517.0,16.0,517,16,12,2019,14
Zsolnay Vilmos utca,,,605.0,5.0,,,605,5,31,2019,14
együtt,544.0,83.0,618.0,1762.0,555.0,538.0,601,2383,23,2019,14
Adria utca,,,436.0,6.0,,,436,6,21,2019,15
Alkotmány utca,,,,,408.0,7.0,391,8,16,2019,15
Apolló utca,,,505.0,6.0,,,518,7,15,2019,15
Aporháza utca,,,,,,,593,3,13,2019,15
Arany János utca,,,504.0,3.0,,,458,4,45,2019,15
Aulich Lajos utca,437.0,4.0,,,,,446,5,23,2019,15
Bánkút utca,,,,,,,470,3,32,2019,15
Bartók Béla utca,,,603.0,5.0,,,587,7,32,2019,15
Báthory utca,,,,,502.0,6.0,502,6,12,2019,15
Beller Imre utca,,,584.0,5.0,,,584,7,25,2019,15
Bem utca,,,594.0,5.0,,,594,5,16,2019,15
Bercsényi Miklós utca,507.0,4.0,,,,,507,4,30,2019,15
Bethlen Gábor utca,364.0,3.0,449.0,5.0,,,417,8,27,2019,15
Bezerédj Pál utca,433.0,3.0,,,,,433,3,5,2019,15
Bezsilla Nándor utca,,,544.0,6.0,,,544,6,19,2019,15
Bocskai utca,457.0,3.0,463.0,11.0,,,462,14,29,2019,15
Csobogós utca,,,,,500.0,10.0,500,10,25,2019,15
Damjanich János utca,355.0,4.0,,,,,355,4,30,2019,15
Dessewffy Arisztid utca,340.0,4.0,,,,,372,5,37,2019,15
Drégelyvár utca,,,,,512.0,48.0,511,49,21,2019,15
Dugonics utca,,,438.0,5.0,,,438,5,45,2019,15
Énekes utca,,,,,,,390,3,23,2019,15
Eötvös utca,381.0,3.0,588.0,14.0,,,551,17,27,2019,15
Epres sor,,,496.0,6.0,,,496,6,12,2019,15
Erdőkerülő utca,,,,,550.0,48.0,550,48,17,2019,15
Fazekas sor,,,,,,,546,4,20,2019,15
Fő út,,,516.0,6.0,,,516,6,25,2019,15
Gergő utca,523.0,3.0,,,,,523,3,29,2019,15
Illyés Gyula utca,,,577.0,9.0,484.0,4.0,548,13,16,2019,15
József Attila utca,,,421.0,3.0,,,421,3,42,2019,15
Kazinczy utca,,,306.0,3.0,,,306,3,24,2019,15
Kertköz utca,,,556.0,4.0,,,556,4,8,2019,15
Késmárk utca,,,,,455.0,7.0,455,7,37,2019,15
Kinizsi utca,414.0,3.0,,,,,449,4,20,2019,15
Klapka György utca,,,,,,,526,3,33,2019,15
Klebelsberg Kunó utca,,,,,,,468,4,30,2019,15
Kőhíd utca,,,,,,,495,3,26,2019,15
Kolozsvár utca,,,588.0,3.0,,,550,4,37,2019,15
Kontyfa utca,,,,,439.0,4.0,439,4,34,2019,15
Kőrakás park,,,,,444.0,25.0,444,25,16,2019,15
Kossuth utca,,,,,523.0,4.0,523,4,25,2019,15
Legénybíró utca,,,,,525.0,7.0,525,7,19,2019,15
Madách utca,,,,,,,520,4,23,2019,15
Mátyás utca,542.0,3.0,,,,,542,3,33,2019,15
Mentő utca,,,542.0,4.0,,,542,4,12,2019,15
Mézeskalács tér,,,,,511.0,29.0,506,30,11,2019,15
Molnár Viktor utca,,,538.0,4.0,,,573,5,40,2019,15
Mozdonyvezető utca,,,,,,,469,3,24,2019,15
Nádastó park,,,,,459.0,18.0,459,18,19,2019,15
Népfelkelő utca,,,,,,,557,3,41,2019,15
Neptun utca,,,506.0,4.0,551.0,35.0,547,39,20,2019,15
Nyírpalota út,,,,,519.0,149.0,519,149,20,2019,15
Obsitos utca,300.0,3.0,,,,,300,3,10,2019,15
Őrjárat utca,,,509.0,3.0,,,509,3,43,2019,15
Oroszlán utca,,,505.0,3.0,,,467,4,39,2019,15
Palánk utca,,,,,,,433,3,35,2019,15
Páskom park,,,,,496.0,30.0,496,31,19,2019,15
Páskomliget utca,,,,,498.0,114.0,498,114,21,2019,15
Patyolat utca,,,,,,,465,3,22,2019,15
Pázmány Péter utca,,,548.0,4.0,,,459,6,44,2019,15
Pozsony utca,,,554.0,4.0,,,554,4,29,2019,15
Rákos út,491.0,3.0,475.0,20.0,539.0,4.0,486,27,20,2019,15
Rákospalotai körvasút sor,,,449.0,4.0,,,426,6,22,2019,15
Régi Fóti út,,,,,,,495,3,32,2019,15
Sárfű utca,,,,,513.0,34.0,513,34,23,2019,15
Széchenyi út,,,,,473.0,5.0,480,6,12,2019,15
Székely Elek út,,,,,,,573,3,7,2019,15
Szent Korona útja,,,545.0,4.0,,,519,6,13,2019,15
Szerencs utca,421.0,5.0,,,,,481,7,31,2019,15
Szilas park,,,548.0,12.0,346.0,3.0,507,15,24,2019,15
Sződliget utca,,,327.0,3.0,,,327,3,58,2019,15
Thököly út,479.0,3.0,,,,,560,5,25,2019,15
Tompa Mihály utca,,,,,,,533,4,19,2019,15
Törökszegfű tér,,,538.0,7.0,,,538,7,15,2019,15
Vácduka tér,,,,,477.0,4.0,500,6,15,2019,15
Vácegres utca,,,,,530.0,3.0,530,3,8,2019,15
Veresegyházi utca,612.0,3.0,,,,,612,3,20,2019,15
Wesselényi utca,,,518.0,6.0,,,479,7,30,2019,15
Wysocki utca,,,,,,,378,3,44,2019,15
Zsókavár utca,,,,,502.0,67.0,502,67,21,2019,15
együtt,436.0,159.0,514.0,282.0,507.0,676.0,498,1117,23,2019,15
Alsómalom utca,,,717.0,5.0,,,717,5,20,2019,16
Bányai Elemér utca,,,524.0,3.0,,,524,3,5,2019,16
Bányász utca,,,727.0,8.0,,,727,8,21,2019,16
Baross utca,469.0,4.0,567.0,5.0,,,524,9,32,2019,16
Bercsényi utca,,,,,,,509,3,13,2019,16
Blaha Lujza utca,459.0,3.0,,,,,454,4,10,2019,16
Bóbitás út,,,720.0,4.0,,,702,6,18,2019,16
Bökényföldi út,,,545.0,3.0,,,537,5,16,2019,16
Borda utca,,,,,,,654,4,28,2019,16
Borotvás utca,,,519.0,5.0,,,519,5,17,2019,16
Budapesti út,,,582.0,7.0,434.0,5.0,523,14,22,2019,16
Centenárium sétány,,,535.0,5.0,,,535,5,14,2019,16
Csömöri út,486.0,5.0,,,,,484,7,27,2019,16
Dóra tér,,,525.0,6.0,,,525,6,7,2019,16
Egyenes utca,,,566.0,5.0,,,566,5,17,2019,16
Enikő utca,,,432.0,4.0,,,432,4,14,2019,16
Farkasbab utca,,,,,,,458,3,17,2019,16
Farkasfa utca,594.0,3.0,,,,,594,3,68,2019,16
Felsőmalom utca,,,670.0,24.0,,,670,24,21,2019,16
Ferenc utca,769.0,3.0,,,,,685,5,29,2019,16
Futórózsa utca,,,535.0,21.0,,,534,22,24,2019,16
Gesztenye utca,,,683.0,10.0,,,683,10,20,2019,16
Gizella tér,,,620.0,3.0,,,620,3,10,2019,16
Gordonka utca,,,,,,,769,3,69,2019,16
Hársfa utca,431.0,3.0,,,,,431,3,39,2019,16
Hársfavirág utca,,,659.0,8.0,,,715,9,32,2019,16
Hermina út,552.0,3.0,,,,,552,3,8,2019,16
Hunyadvár utca,,,548.0,11.0,,,548,11,17,2019,16
Iglói utca,,,564.0,7.0,,,578,9,11,2019,16
Íjász utca,,,605.0,4.0,,,631,5,10,2019,16
Jókai Mór utca,,,327.0,3.0,,,327,3,52,2019,16
József utca,,,604.0,3.0,,,604,3,11,2019,16
Kerepesi út,,,490.0,4.0,,,490,4,5,2019,16
Kicsi utca,,,596.0,4.0,,,596,4,9,2019,16
Kolozs köz,,,369.0,4.0,,,369,4,54,2019,16
Kolozs utca,,,539.0,5.0,,,539,5,7,2019,16
Koronafürt utca,,,595.0,3.0,,,595,3,5,2019,16
Lajos utca,561.0,3.0,505.0,3.0,,,533,6,27,2019,16
Lándzsa utca,,,585.0,20.0,,,585,20,12,2019,16
Legenda utca,,,,,,,549,3,10,2019,16
Linda tér,,,475.0,5.0,,,475,5,9,2019,16
Mátyásdomb tér,,,499.0,3.0,,,583,5,32,2019,16
Mészáros József utca,,,498.0,6.0,,,498,6,11,2019,16
Nonn János utca,,,774.0,6.0,,,774,6,17,2019,16
Olga utca,,,445.0,7.0,,,443,8,26,2019,16
Olló utca,,,517.0,3.0,,,517,3,27,2019,16
Összefogás sétány,,,,,456.0,4.0,456,4,16,2019,16
Ottó utca,402.0,4.0,,,,,402,4,30,2019,16
Pál utca,,,,,,,807,3,57,2019,16
Pálya utca,,,,,,,536,4,10,2019,16
Pilóta utca,,,,,,,589,3,16,2019,16
Rákóczi út,391.0,4.0,,,,,391,4,19,2019,16
Rákosi út,441.0,6.0,386.0,5.0,,,416,11,26,2019,16
Rákospalotai határút,,,,,,,359,4,19,2019,16
Rezgőfű utca,,,519.0,4.0,,,494,5,21,2019,16
Rigó utca,,,,,,,503,3,22,2019,16
Sarkad utca,,,514.0,3.0,,,468,4,23,2019,16
Sasvár utca,,,546.0,5.0,,,520,6,17,2019,16
Szabadföld út,,,,,,,534,3,76,2019,16
Szent Imre utca,631.0,4.0,,,,,631,4,43,2019,16
Szent Korona utca,585.0,4.0,553.0,3.0,,,571,7,26,2019,16
Tavirózsa utca,,,521.0,5.0,,,521,5,20,2019,16
Tekla utca,,,433.0,4.0,,,433,4,40,2019,16
Újszász utca,,,570.0,28.0,,,558,30,20,2019,16
Üzbég utca,,,555.0,4.0,,,555,4,34,2019,16
Vágás utca,,,733.0,4.0,,,733,4,17,2019,16
Vámosgyörk utca,,,284.0,4.0,,,284,4,81,2019,16
Védő utca,,,528.0,11.0,,,528,11,22,2019,16
Veres Péter út,447.0,4.0,568.0,3.0,,,499,7,56,2019,16
Vidámvásár utca,,,604.0,3.0,,,520,4,64,2019,16
Villő utca,,,490.0,6.0,,,490,6,11,2019,16
Vívó utca,,,571.0,6.0,,,571,6,14,2019,16
Zsélyi Aladár utca,,,519.0,10.0,,,519,10,12,2019,16
együtt,519.0,228.0,561.0,436.0,477.0,25.0,544,689,30,2019,16
512. utca,,,485.0,8.0,,,485,8,33,2019,17
513. utca,,,446.0,5.0,,,446,5,9,2019,17
Adorján utca,507.0,3.0,,,,,507,3,33,2019,17
Akácvirág utca,,,446.0,3.0,,,448,4,15,2019,17
Aknász utca,374.0,4.0,,,,,383,5,21,2019,17
Bártfai utca,334.0,4.0,,,,,407,5,47,2019,17
Bélavár utca,452.0,6.0,,,,,432,7,29,2019,17
Bocskai István utca,386.0,3.0,,,,,386,3,14,2019,17
Borsó utca,,,,,501.0,24.0,496,25,28,2019,17
Csokonai utca,329.0,3.0,,,,,329,3,10,2019,17
Dallamos utca,327.0,3.0,,,,,327,3,9,2019,17
Dedics Ferenc utca,,,641.0,6.0,,,641,6,8,2019,17
Egészségház utca,,,485.0,6.0,422.0,8.0,449,14,16,2019,17
Érdem utca,,,,,,,739,3,46,2019,17
Ferihegyi út,360.0,6.0,440.0,13.0,510.0,6.0,437,25,25,2019,17
Fodormenta utca,322.0,3.0,,,,,360,4,23,2019,17
Földműves utca,,,462.0,4.0,486.0,16.0,481,20,15,2019,17
Függőcinege utca,,,518.0,3.0,,,518,3,13,2019,17
Gombosi utca,,,461.0,4.0,,,447,5,21,2019,17
Gyökér utca,,,,,475.0,18.0,475,18,18,2019,17
Harsona utca,443.0,4.0,,,,,443,4,16,2019,17
Hegyalatti utca,,,726.0,7.0,,,726,7,21,2019,17
Irsa utca,405.0,3.0,,,,,405,3,43,2019,17
Jászivány utca,,,,,,,397,3,28,2019,17
Jászladány utca,705.0,3.0,,,,,705,3,57,2019,17
Kaszáló utca,,,550.0,7.0,471.0,24.0,483,32,18,2019,17
Katlan utca,310.0,3.0,,,,,310,3,24,2019,17
Kévekötő utca,483.0,4.0,,,,,483,4,8,2019,17
Kis utca,,,,,361.0,7.0,361,7,21,2019,17
Koch Aladár utca,,,614.0,7.0,,,614,7,22,2019,17
